鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,floor,parking,parking_price
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路203巷1~30號,24.85,住,,,1080731,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081101,177.51999999999998,3,2,2,有,有,14000000,95962,坡道平面,47.26,1500000,,RPRRMLRJKHPFFAH88CA,13,1,4535164.12
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路203巷1~30號,25.06,住,,,1080710,土地1建物1車位2,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081101,225.03000000000003,3,2,2,有,有,15480000,95625,坡道平面,94.52,3000000,,RPVRMLRJKHPFFAH66CA,13,2,9038475.0
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路181~210號,30.6,住,,,1081216,土地1建物1車位2,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081101,256.51,3,2,2,有,有,19100000,97537,坡道平面,94.52,3300000,,RPWRMLRJKHPFFAH76CA,13,2,9219197.24
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路203巷1~30號,24.85,住,,,1081216,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081101,177.47,3,2,2,有,有,12870000,85401,坡道平面,47.26,1750000,,RPXRMLRJKHPFFAH86CA,13,1,4036051.26
桃園區,房地(土地+建物)+車位,桃園市桃園區中正路1111~1140號,39.72,商,,,1081204,土地1建物1車位2,二十三層,三十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011102,476.02,4,2,4,有,有,56000000,117642,坡道平面,46.78,0,,RPWNMLKKKHPFFAH38CA,38,2,5503292.76
桃園區,房地(土地+建物)+車位,桃園市桃園區民族路181~210號,13.58,住,,,1081205,土地2建物1車位1,三層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080131,126.14999999999999,2,1,1,有,有,11030000,102731,坡道平面,29.49,1100000,,RPQQMLRJKHPFFAH68CA,22,1,3029537.19
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路61~90號,43.87,住,,,1081024,土地1建物1車位2,三層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060824,319.25,4,2,3,有,有,27700000,86766,坡道平面,0.0,0,,RPRRMLOJKHPFFAH58CA,29,2,0.0
桃園區,房地(土地+建物),桃園市桃園區國際路一段1171~1200號,7.15,住,,,1081127,土地1建物1車位0,七層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861128,77.19000000000001,2,2,1,有,有,4200000,54411,,0.0,0,,RPRPMLLMJHPFFAH28CA,25,0,0.0
桃園區,房地(土地+建物)+車位,桃園市桃園區龍城一街61~90號,20.4,住,,,1081221,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080515,150.46,3,2,2,有,有,8020000,59219,坡道平面,40.36,1500000,,RPSOMLKMJHPFFAH18CA,15,1,2390078.84
桃園區,房地(土地+建物)+車位,桃園市桃園區龍城一街31~60號,27.3,住,,,1081221,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080515,189.04,4,2,2,有,有,11260000,65644,坡道平面,40.36,1500000,,RPVOMLKMJHPFFAH48CA,15,1,2649391.84
桃園區,房地(土地+建物)+車位,桃園市桃園區龍城一街61~90號,15.11,住,,,1081125,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080515,120.93,2,2,1,有,有,6230000,58707,坡道平面,40.36,1500000,,RPXOMLKMJHPFFAH68CA,15,1,2369414.52
桃園區,房地(土地+建物)+車位,桃園市桃園區龍城一街61~90號,17.03,住,,,1081222,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070601,134.95,2,2,1,有,有,6620000,55921,坡道平面,40.71,1350000,,RPVNMLLMJHPFFAH48CA,15,1,2276543.91
